code,name,college
BSCA,Bachelor of Science in Computer Application,CCS
BSCS,Bachelor of Science in Computer Science,CCS
BSIT,Bachelor of Science in Information Technology,CCS
BSSTAT,Bachelor of Science in Statistics,CSM
BSBIO (MICROBIO),Bachelor of Science in Biology (Microbiology),CSM
BSBIO (MARINE),Bachelor of Science in Biology (Marine Biology),CSM
BSBA (ECON),Bachelor of Science in Business Administration (Economics),CEBA
BSHM,Bachelor of Science in Hospitality Management,CEBA
BSACC,Bachelor of Science in Accountancy,CEBA
BSBA (BE),Bachelor of Science in Business Administration (Business Economics),CEBA
BSEDBIO,Bachelor of Secondary Education in Biology,CED
BSEDCHEM,Bachelor of Secondary Education in Chemistry,CED
BSEDMATH,Bachelor of Secondary Education in Mathematics,CED
BSIS,Bachelor of Science in Information Systems,CCS
BEEDENG,Bachelor of Elementary Education in English,CED
